Country Name,Country Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Burkina Faso,BFA,475.110012184526,569.761278420206,552.745552106433,575.446452687734,666.840410055466,673.822818226635,699.781537016479,703.821656461717,575.314454176312,613.993127495919,670.705913111953,
Bangladesh,BGD,541.065148395087,615.777541053092,681.120536769049,757.671757176894,835.789340127412,856.342857027401,951.889453456343,1084.56542980269,1210.15876939761,1358.77902884543,1516.51342307197,
Bulgaria,BGR,5885.94925197955,7261.75449200277,6969.55855668357,6843.26694975885,7813.80669236432,7378.02473005713,7674.86186683366,7853.33293724146,6993.47554370696,7469.44770298113,8031.59844245699,
Bahrain,BHR,20977.1105261075,23067.5653465171,19356.6723557874,20722.1038895508,22512.1596038712,23649.3666139101,24737.1717830704,24983.3790153356,22688.8782442968,22560.5812707477,23655.0356024013,
"Bahamas, The",BHS,31018.0294921829,30188.4844382751,28129.6075027617,27979.1149343739,27472.2561707514,28815.527404385,28171.9860036051,28671.3469695344,30483.8201004038,30260.3059054474,30762.0124392644,
Bosnia and Herzegovina,BIH,4180.29217625809,5078.31457720914,4701.33442641347,4614.8290411405,5054.32534423757,4722.01340306727,5042.58221304612,5204.24371841169,4584.24254781755,4808.63604287112,5180.63630093473,
Belarus,BLR,4735.65760793999,6377.36973201232,5176.2638299699,6029.3967998293,6519.23019498892,6940.15925359735,7978.87261471076,8318.51268992675,5949.10630699748,5022.62664330491,5726.02967250931,
Belize,BLZ,4324.87642716156,4470.22079597603,4258.78861143762,4344.15017661252,4517.13771902112,4673.79143513087,4685.249476293,4844.9818592299,4950.25606198927,4960.18179390332,4905.50628401227,
Bermuda,BMU,90849.5869806436,93605.7481653976,88463.3128161375,88207.3275597322,85973.158416455,85458.455507886,85748.0654143782,,,,,
Bolivia,BOL,1389.63734326178,1736.93505102289,1776.86647562189,1981.16070450437,2377.67591794125,2645.22775260146,2947.93852628051,3124.00030982516,3077.02619917158,3117.3304591216,3393.95581751781,
Brazil,BRA,7313.55777336115,8787.61065756604,8553.38136825695,11224.1540829355,13167.4728917533,12291.4668523291,12216.9044643396,12026.6193906313,8750.22299607324,8639.36574344537,9821.40768641008,
Barbados,BRB,16381.4955640051,16613.7192186615,15922.9001328689,15959.0297922874,16610.4183520372,16536.2146421152,16326.9134788626,16261.7993189477,16129.0492827663,15891.6265491446,16788.6839195944,
Brunei Darussalam,BRN,32672.3671711068,37951.2805959782,27965.4750379503,35268.1011703581,47017.0273004715,47651.2590896413,44597.279681535,41530.6689792581,30967.890506377,26939.418047044,28290.5851955712,
Bhutan,BTN,1741.14255168898,1795.18130720282,1770.23449659172,2178.92138307967,2458.0459761545,2422.00801577828,2350.88288924473,2504.71740655941,2615.31022007844,2773.54713530224,3110.23011252519,
